Zone,avg_income_per_mile,avg_speed_mph,avg_fare,num_trips
Allerton/Pelham Gardens,4.264335580881915,14.418755825347128,29.777500000000003,24
Alphabet City,4.401733629171545,11.661940593129913,12.838860377358492,2650
Arden Heights,4.1707932283123395,17.604043858918963,92.9396551724138,29
Arrochar/Fort Wadsworth,5.552901839025556,41.56977385548814,58.125,4
Astoria,4.174272225886277,11.623352012746407,14.077593939393939,1650
Astoria Park,7.992268041237114,24.387603666521166,51.68333333333334,12
Auburndale,4.408696761030349,10.342614302461898,31.430000000000003,11
Baisley Park,3.803387553727906,22.84212384462965,50.33555555555556,459
Bath Beach,3.637970472031608,22.46856005710454,43.737500000000004,24
Battery Park,3.6002790050419704,15.574658902348425,16.541496062992127,635
Battery Park City,3.692801931151199,15.226825565506276,15.671323499491352,9830
Bay Ridge,3.738363738598026,19.510507091493167,40.22605042016807,119
Bay Terrace/Fort Totten,3.3783653182382984,23.52259810554804,48.939,10
Bayside,3.6652406417112298,23.977205271281015,41.124,15
Bedford,4.643082708579418,11.598634621433646,18.256777251184833,211
Bedford Park,4.302279581049968,19.53346470546837,42.799354838709675,62
Bellerose,4.401018808777431,16.92401215805471,37.438,30
Belmont,4.816447798443164,13.884040700339167,31.175384615384612,26
Bensonhurst East,4.0593739283789745,15.992600733397897,38.541395348837206,43
Bensonhurst West,4.127056404230317,14.749232713486187,30.103928571428575,56
Bloomfield/Emerson Hill,4.330073644814681,20.31714739950034,51.23714285714286,21
Bloomingdale,4.519268538094823,10.764829293155103,11.435599486820621,8574
Boerum Hill,3.976085202421254,14.60020238270618,18.193514986376023,734
Borough Park,5.276043649283086,7.35387047860966,23.4256338028169,71
Breezy Point/Fort Tilden/Riis Beach,3.5816326530612246,12.002041163463176,70.2,1
Briarwood/Jamaica Hills,4.263338002613543,15.35010803205285,42.38196261682243,107
Brighton Beach,3.7773289750175123,16.64989309547977,43.72513513513514,37
Broad Channel,3.629032258064516,18.175895765472315,11.25,2
Bronx Park,3.248390557939915,20.527378403181398,25.95,7
Bronxdale,4.362305746295628,13.251342767347888,32.188,30
Brooklyn Heights,3.931822420060692,13.679438122215045,17.271031914893616,940
Brooklyn Navy Yard,4.099989817737501,12.870622497269748,16.7775,24
Brownsville,4.794381011694691,10.713703200296553,27.936935483870965,124
Bushwick North,4.243016238412243,13.932016685828485,23.516551724137933,116
Bushwick South,4.149190470451167,14.028696897823076,23.83326923076923,260
Cambria Heights,3.4442013909528613,19.040474858051905,45.98555555555556,63
Canarsie,4.840378783985198,10.914547494390424,34.56119266055046,109
Carroll Gardens,3.856005008058179,14.959949521785337,17.81569230769231,325
Central Harlem,4.621431493974332,10.501596378860079,11.52326269098078,8116
Central Harlem North,4.595837645321363,11.323473893443618,12.729050847457627,2655
Central Park,4.735594941603239,9.98773199426805,10.151299864648703,40635
Charleston/Tottenville,3.1133990354371988,27.607699358386796,70.70380952380953,21
Chinatown,4.110215656547064,11.627510553874844,14.52804022082019,2536
City Island,4.005347593582888,15.153629712999438,37.45,4
Claremont/Bathgate,4.382302699009224,14.356836296750462,24.432380952380953,63
Clinton East,4.3392898313281085,11.51385767676507,10.837968875594619,75889
Clinton Hill,4.48985966040866,8.204036518864157,20.7203515625,256
Clinton West,4.40228971772355,11.971405161481579,10.721885873347253,17244
Co-Op City,3.83546866170157,15.610744146239773,36.09023809523809,126
Cobble Hill,4.081173681024861,13.67335325741933,16.152747252747254,455
College Point,3.4198145711958903,19.20392989022373,33.085151515151516,33
Columbia Street,3.9864831349206344,17.194029850746272,18.369714285714284,35
Coney Island,3.6913663190317205,17.347425252892517,44.09086419753086,81
Corona,5.273011477825911,14.955721508418758,34.22260869565218,69
Country Club,3.516114592658908,20.324488248673237,39.275000000000006,4
Crotona Park,3.2896678966789663,36.06654343807763,35.66,1
Crotona Park East,4.660757040246265,14.683935173343876,25.5496875,32
Crown Heights North,4.618118042639231,11.520507054941678,23.422492917847023,353
Crown Heights South,4.756505576208178,10.17833342901683,25.37675,120
Cypress Hills,4.219672980024298,14.23102237478153,32.596000000000004,65
DUMBO/Vinegar Hill,3.8231468306538225,16.75707553753277,19.160546448087434,366
Douglaston,4.546661280083108,34.86317907444668,65.64999999999999,12
Downtown Brooklyn/MetroTech,3.789180942044875,14.687635338003822,17.885798245614037,1140
Dyker Heights,4.190880989180835,16.76499354319707,31.79,29
East Chelsea,4.474146766279366,10.519589250032846,11.155421085676469,58931
East Concourse/Concourse Village,4.6557019205990695,12.6856007392728,23.808682170542635,129
East Elmhurst,3.0999722676573973,22.11930203706796,29.19823013759432,9012
East Flatbush/Farragut,5.1025276156480635,10.540590927066267,27.836973684210527,76
East Flatbush/Remsen Village,5.397723182997744,9.633612627545203,27.66621359223301,103
East Flushing,3.980536398467433,16.10779674963999,21.644166666666667,12
East Harlem North,4.4842407386830105,11.279054427794057,11.182818132902879,7434
East Harlem South,4.46006852462222,11.697746337084363,10.926621065088757,21125
East New York,4.373842560601454,12.788115623281753,29.998341232227492,211
East New York/Pennsylvania Avenue,4.6238440850311315,12.12628287065189,26.146874999999998,48
East Tremont,4.162822766918329,15.450257442149496,28.412,85
East Village,4.347115170853674,11.533806114692876,10.691048066611998,63412
East Williamsburg,4.197895266868077,15.360618756042541,21.881942257217847,381
Eastchester,3.6249538889361825,17.428543953402112,37.57264705882353,34
Elmhurst,4.962137968268343,14.832266582474674,22.001621621621624,259
Elmhurst/Maspeth,4.288791101332355,8.352315266465505,18.274270833333333,96
Erasmus,4.143545907065231,12.739963293275657,26.49866666666667,60
Far Rockaway,3.4950257173795336,17.923730741043375,52.966666666666676,78
Financial District North,3.6777670305042016,16.18007323648076,15.940149425287357,9570
Financial District South,3.5749643556620505,14.890072919493786,17.0962863674148,4812
Flatbush/Ditmas Park,4.731967950946054,11.52546880171656,26.54705,200
Flatiron,4.627979661470413,10.33643653606158,9.859595488407715,43089
Flatlands,4.820148157409432,10.481203418056733,29.65596153846154,104
Flushing,3.9065242399342646,17.764550371818057,34.957647058823525,68
Flushing Meadows-Corona Park,5.461565622520899,27.56685920957916,52.7,226
Fordham South,5.3306935332708525,13.352103863600814,23.215714285714284,49
Forest Hills,4.460192849219217,15.23096418295179,22.147881355932203,236
Forest Park/Highland Park,10.321183688199206,20.0353484635469,47.666666666666664,6
Fort Greene,4.183760318815827,12.297041399981039,17.342241887905605,678
Fresh Meadows,4.048162756902636,12.883506686478457,24.375,16
Garment District,4.514343045578594,10.699371483679975,10.897550002597537,38498
Glen Oaks,4.268357461630565,10.605891520597234,61.2709375,32
Glendale,4.693573726340989,12.039329497122843,26.14125,24
Governor's Island/Ellis Island/Liberty Island,3.824362606232295,15.516483516483515,13.5,1
Gowanus,4.083295365116183,13.90670176084226,20.975106382978723,94
Gramercy,4.566884329621329,10.671811126361726,10.102232074865043,59093
Gravesend,3.597201078973373,18.60316321179166,44.16065573770492,61
Great Kills,5.783382789317507,10.293568640760224,64.96666666666667,3
Green-Wood Cemetery,3.2871972318339098,17.47837043259135,38.0,1
Greenpoint,3.966608745266871,14.502871919445205,17.993470588235294,340
Greenwich Village North,4.703036203490401,9.86790257933563,10.128555611633335,31702
Greenwich Village South,4.409967436671945,11.203981250570067,10.640463983767333,29570
Grymes Hill/Clifton,3.998658618376928,23.03690987124464,59.620000000000005,3
Hamilton Heights,4.0380612257378035,13.989295114363197,14.354956521739132,2300
Hammels/Arverne,3.5741964268762696,14.96866785079929,52.29347222222222,72
Heartland Village/Todt Hill,2.7560344827586207,21.14787305874409,47.955,2
Highbridge,4.0167879942929146,16.97117102963414,27.948985507246377,138
Highbridge Park,7.50405425328026,26.857457105147382,50.9,10
Hillcrest/Pomonok,4.042381084070796,14.357910991010865,29.234500000000004,40
Hollis,4.5840045776662715,14.072333103922917,40.05538461538462,26
Homecrest,4.501022015212948,11.19054215926254,30.528181818181817,44
Howard Beach,4.071565140519315,21.29563282133606,53.52567567567568,37
Hudson Sq,4.281543711156733,11.665919092366467,11.475421596244132,10650
Hunts Point,3.9554882311815436,15.411383249363993,25.145185185185184,27
Inwood,3.700511296493466,17.45779502629832,22.43113475177305,141
Inwood Hill Park,3.754233409610984,26.255006675567422,32.812,10
JFK Airport,2.866252374695648,26.607194222185967,45.55489850061108,100641
Jackson Heights,4.43671279592279,14.995314744037483,19.78829831932773,476
Jamaica,4.060322347372573,21.04606160764043,37.8140306122449,196
Jamaica Bay,2.7076282218172354,33.424220449601165,52.0,2
Jamaica Estates,4.552866558004394,13.50263143905162,28.55355555555556,45
Kensington,4.340015458648117,14.953983822356632,26.37348484848485,66
Kew Gardens,6.206804648482521,23.003766637259787,41.36016,125
Kew Gardens Hills,4.151980156394518,17.968649669499527,29.9269696969697,33
Kingsbridge Heights,4.187239920271357,13.98984895737785,26.908426966292133,89
Kips Bay,4.37287444049538,11.574727713335845,10.419020725956793,36476
LaGuardia Airport,3.08372161616864,22.359604216875002,29.37971260937047,58631
Laurelton,3.2522425784282953,17.92980088859635,45.78325581395349,43
Lenox Hill East,4.5108037182432135,10.968430586114968,10.841487067561404,61396
Lenox Hill West,4.663317647504164,10.987257346820961,9.51082908063123,76422
Lincoln Square East,4.6171449238002085,10.507756602554055,9.86634256464433,79512
Lincoln Square West,4.658477750831081,10.927030676689686,10.040436530387398,33583
Little Italy/NoLiTa,4.420778573643182,10.787757936345182,11.679068231841526,19082
Long Island City/Hunters Point,5.060256457457832,17.65999705866417,22.400500582072176,859
Long Island City/Queens Plaza,4.2441589662684995,11.84471349785754,13.320360610263522,1442
Longwood,4.446852979816076,12.1526397484226,22.565757575757573,33
Lower East Side,4.162692729269142,11.588974879543086,12.19435423138473,21246
Madison,3.7914638712092854,16.0389839393795,37.31,19
Manhattan Beach,3.996940648582501,15.190452967669755,34.582941176470584,17
Manhattan Valley,4.556419291196035,10.522838452174119,10.736904433497537,25375
Manhattanville,4.048013673318552,13.264006018200972,12.995264458724666,2023
Marble Hill,4.6235128704304564,14.48396501457726,26.718125,16
Marine Park/Floyd Bennett Field,3.3474496356622376,33.951006548629636,48.81,8
Marine Park/Mill Basin,4.0102670516059185,14.702106806776566,35.84661290322581,62
Mariners Harbor,2.8228440366972483,23.074209102669645,61.53800000000001,5
Maspeth,5.934963275983498,20.07202961965668,28.634757281553398,103
Meatpacking/West Village West,4.344154183993156,10.62661189084287,11.496195294404485,16406
Melrose South,4.983763717946408,10.773712707897404,18.561342281879195,149
Middle Village,3.9540496037871766,17.33802537668517,28.460370370370374,27
Midtown Center,4.645382446810281,10.402639547864714,10.384706791713903,87327
Midtown East,4.608068413514301,10.749118430952073,10.1081176231452,73795
Midtown North,4.619395611809203,10.604228670523371,10.35483028309755,63547
Midtown South,4.522934180649512,10.581932966895117,10.660861065762484,47778
Midwood,4.906780094011855,10.539737625465587,29.101666666666667,66
Morningside Heights,4.515875816056638,10.609189118495456,11.766618785412177,12531
Morrisania/Melrose,4.610312981015905,12.998749478949563,22.11815384615385,65
Mott Haven/Port Morris,4.552865075653278,13.352804354837136,21.73506289308176,318
Mount Hope,5.202618727628375,13.227769438753807,26.779589041095893,146
Murray Hill,4.640458623093603,10.845408961523727,10.25716768656017,74681
Murray Hill-Queens,4.735120994113801,12.423724137931039,31.02857142857143,21
Newark Airport,13.338316264728554,51.936770196203035,67.29180555555556,72
North Corona,4.138708767972935,15.090941322460557,20.48372093023256,43
Norwood,4.288492241456634,14.961753522701855,29.15390243902439,82
Oakland Gardens,3.4703868538171863,17.424357912178955,25.3425,8
Oakwood,7.724137931034484,6.192170818505337,67.2,1
Ocean Hill,4.2326347525553345,12.939721204624389,30.616808510638297,94
Ocean Parkway South,3.959290301513008,14.126601742696055,27.98,13
Old Astoria,4.439182346056896,11.551238675712854,14.830206766917293,532
Outside of NYC,4.699551769049815,13.657773873675133,41.45315545755237,4535
Ozone Park,3.885698303188514,15.47081213189631,32.06,13
Park Slope,4.147156460356939,13.1748462351011,18.845643410852713,645
Parkchester,4.402992697002195,12.851821803298117,26.12575757575758,66
Pelham Bay,4.361346981505176,13.796897289586306,28.841923076923077,26
Pelham Bay Park,3.225806451612903,20.036399409739303,24.333333333333332,3
Pelham Parkway,4.241971102277746,15.621832518789274,27.44122448979592,49
Penn Station/Madison Sq West,4.641479240606474,10.155821123827971,10.989240237904035,79696
Port Richmond,3.0517180304640457,36.012756909992916,86.15,1
Prospect Heights,4.126762806768197,13.819141280882707,18.01144385026738,187
Prospect Park,4.309241970786617,12.007509051088368,19.68795918367347,49
Prospect-Lefferts Gardens,4.815725009877517,11.953440930394258,24.748426395939084,197
Queens Village,4.085791793828416,17.188784548277113,31.51276923076923,65
Queensboro Hill,4.2707452001301665,13.951007282701218,30.880000000000003,17
Queensbridge/Ravenswood,4.259144437628828,12.981495578148602,14.246247689463956,541
Randalls Island,6.442317653733257,22.113272727272733,40.18123076923077,65
Red Hook,3.9757759059302393,15.974212645336078,25.573636363636364,55
Rego Park,4.932069232907576,15.615093669086665,30.36954954954955,111
Richmond Hill,5.965430242616468,17.632756820554725,41.37792857142857,140
Ridgewood,4.471514590088003,13.58924319373907,27.396486486486488,74
Riverdale/North Riverdale/Fieldston,3.375881992023725,19.965914730111017,38.8385294117647,34
Rockaway Park,3.000410755474107,23.107550652037236,52.75555555555556,18
Roosevelt Island,3.0544031169955628,4.966005285080844,18.405434782608694,46
Rosedale,3.2745059696466012,22.196378932702803,53.824107142857144,56
Saint Albans,4.073708014113885,14.047985637779943,35.72119658119658,117
Saint George/New Brighton,3.0952380952380953,29.870914356640466,62.075,2
Saint Michaels Cemetery/Woodside,4.57609909635496,19.64343490304709,28.16875,32
Schuylerville/Edgewater Park,3.959626962578207,17.309342717675104,26.8336,25
Seaport,3.781588149534246,14.292515888268543,14.980627698439056,3011
Sheepshead Bay,3.524105998594401,23.653125305576985,44.86557894736843,95
SoHo,4.395209929579741,10.572333917090802,11.388680628272253,16235
Soundview/Bruckner,4.47994838889664,13.709277310031606,29.197045454545457,44
Soundview/Castle Hill,4.058145907657308,18.06360226016842,32.703583333333334,120
South Beach/Dongan Hills,2.932982288176161,21.089175546831182,30.635,2
South Jamaica,3.925206142447418,23.002468884420576,48.963167701863355,161
South Ozone Park,6.542666065524497,23.585677245725158,52.03374501992032,251
South Williamsburg,4.827587661926665,11.665923728002406,15.460675675675674,74
Springfield Gardens North,4.226741445942125,14.148477439430984,32.415542168674705,83
Springfield Gardens South,3.730099634372877,20.745043281471002,56.53565476190476,168
Spuyten Duyvil/Kingsbridge,4.063477236729887,17.624750221197154,25.655128205128204,78
Stapleton,4.668512208972175,18.817453250222616,65.77000000000001,5
Starrett City,4.008150368920884,13.453747685371546,33.82818181818182,66
Steinway,4.564057990428292,19.924090346169727,26.580620567375885,564
Stuy Town/Peter Cooper Village,4.478732911680507,11.615269125735063,11.238697930311764,3817
Stuyvesant Heights,4.582714444857038,10.564869857079806,23.847826086956523,207
Sunnyside,4.598222905670631,13.22876215757819,19.12929292929293,2079
Sunset Park East,4.454905344363802,11.824164832966595,28.31451612903226,31
Sunset Park West,3.7461992989484223,17.319533982827902,28.124661654135338,133
Sutton Place/Turtle Bay North,4.592061248425351,11.086499298013969,9.635050037368526,54859
Times Sq/Theatre District,4.26148645831663,11.656333917978412,11.76011859281658,67795
TriBeCa/Civic Center,4.129934486320926,12.082641320880837,12.634991928251122,27875
Two Bridges/Seward Park,4.268580697060315,12.4374286556891,14.81017823284035,2637
UN/Turtle Bay South,4.437635361023102,11.91166592190312,10.630017421602787,29848
Union Sq,4.723824645704103,9.970389705920146,9.973414319433516,63550
University Heights/Morris Heights,4.216191208067374,15.691645133505597,29.22141304347826,92
Upper East Side North,4.960430275762587,9.783172569242897,9.593975130398498,119825
Upper East Side South,5.029889237730508,9.809134307909206,8.962061818905605,120578
Upper West Side North,4.605287853228454,11.050095929096168,10.38197961003348,59441
Upper West Side South,4.661592012174086,10.851185034085283,9.895392186978297,74875
Van Cortlandt Park,7.012658227848101,9.121231558691468,27.7,2
Van Cortlandt Village,3.69760651478014,16.57905255366395,32.4784705882353,85
Van Nest/Morris Park,4.556714410065678,14.415468366784332,26.174181818181818,110
Washington Heights North,3.8828014030205518,14.679053934257654,20.994514106583072,319
Washington Heights South,3.8424876598700353,13.193288678182416,16.41549009105517,1867
West Brighton,3.12520325203252,25.130533484676505,32.03333333333333,3
West Chelsea/Hudson Yards,4.480467162479994,10.814753378944754,10.947844874222342,29576
West Concourse,4.606036410092622,14.95211699995736,19.228666666666665,210
West Farms/Bronx River,4.027474997190696,16.956756470650504,31.858222222222224,45
West Village,4.436908540487344,10.39971695597179,10.45724404119487,54667
Westchester Village/Unionport,4.669494159968024,12.300264028405813,25.03404761904762,42
Whitestone,3.9214943834406157,14.978888772187796,47.8,26
Willets Point,4.428571428571429,17.115689381933436,46.5,2
Williamsbridge/Olinville,3.8035606444911463,16.132455062595735,34.605714285714285,91
Williamsburg (North Side),4.015097905975897,14.083118557685404,17.396175972927242,591
Williamsburg (South Side),4.311086604804365,14.517714902637154,18.339814814814815,648
Windsor Terrace,3.9540097508541585,17.563754869643397,27.104736842105265,38
Woodhaven,4.471235617808904,13.531200789714909,27.50153846153846,26
Woodlawn/Wakefield,3.4972346059732518,19.143829878255293,35.97689655172414,29
Woodside,4.797029944323644,11.99415244573957,19.757791164658634,498
World Trade Center,3.785710468391798,14.271382151822019,15.719848223525352,8697
Yorkville East,4.501537031643899,11.727928197035661,10.350226517747378,38231
Yorkville West,4.463262346683206,11.607720287002973,9.890793078820932,61608
